,Pittsburgh,New_York,Dallas
FMPC 3587: type III secretion system translocon subunit YopB ,0.5,0.5,0.5
FMPC 3588: *hhblits annotated* PAS/PAC sensor signal transduction histidine kinase  db:Pdp70 e-value:1.9e-65 ,0.5,0.5,0.5
FMPC 3589: glycosyltransferase family 2 protein ,0.411199095,0.472380952,0.408163265
FMPC 3590: FecR domain-containing protein ,0.5,0.52,0.5
FMPC 3591: phosphoglycerate dehydrogenase ,0.67760181,0.32952381,0.571428571
FMPC 3592: *hhblits annotated* Competence CoiA family protein  db:Pdp70 e-value:2.3e-84 ,0.5,0.5,0.5
FMPC 3593: elongation factor Tu ,0.515837104,0.4,0.408163265
FMPC 3594: MFS transporter ,0.5,0.5,0.5
FMPC 3595: MFS transporter ,0.5,0.5,0.5
FMPC 3596: PLP-dependent aminotransferase family protein ,0.5,0.5,0.5
FMPC 3597: cystathionine gamma-synthase family protein ,0.5,0.5,0.5
FMPC 3598: *hhblits annotated* Putative tail stability protein  db:Pdp70 e-value:5.4e-76 ,0.517251131,0.5,0.5
FMPC 3599: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme ,0.5,0.398095238,0.448979592
FMPC 3600: glycosyltransferase ,0.421945701,0.622857143,0.602040816
FMPC 3601: *hhblits annotated* Uncharacterized protein db:Uniclust30 e-value:1.8e-20 ,0.520361991,0.672380952,0.62244898
FMPC 3602: baseplate J/gp47 family protein ,0.5,0.5,0.5
FMPC 3603: transposase ,0.5,0.5,0.5
FMPC 3604: MFS transporter ,0.432409502,0.497142857,0.357142857
FMPC 3605: HD-GYP domain-containing protein ,0.514705882,0.539047619,0.408163265
FMPC 3606: metallophosphoesterase family protein ,0.5,0.5,0.5
FMPC 3607: ISL3 family transposase ,0.5,0.5,0.5
FMPC 3608: FAD-binding oxidoreductase ,0.5,0.5,0.5
FMPC 3609: *hhblits annotated* Major capsid protein db:Uniclust30 e-value:7.8e-11 ,0.5,0.5,0.5
FMPC 3610: benzoate/H(+) symporter BenE family transporter ,0.5,0.5,0.5
FMPC 3611: glycosyltransferase ,0.5,0.476190476,0.653061224
FMPC 3612: MFS transporter ,0.5,0.5,0.5
FMPC 3613: glycosyl hydrolase family 28 protein ,0.5,0.5,0.5
FMPC 3614: ISL3 family transposase ,0.488404977,0.466666667,0.357142857
FMPC 3615: baseplate J/gp47 family protein ,0.5,0.5,0.5
FMPC 3616: site-specific integrase ,0.5,0.5,0.5
FMPC 3617: *hhblits annotated* Phage protein db:Uniclust30_2023 e-value:1.2e-06 ,0.5,0.5,0.5
FMPC 3618: MFS transporter ,0.5,0.5,0.5
FMPC 3619: *hhblits annotated* Succinate--CoA ligase ,0.5,0.5,0.5
FMPC 3620: ornithine--oxo-acid transaminase ,0.491515837,0.287619048,0.326530612
FMPC 3621: stage III sporulation protein AE ,0.480769231,0.5,0.5
FMPC 3622: MFS transporter ,0.504524887,0.516190476,0.489795918
FMPC 3623: deoxyribose-phosphate aldolase ,0.580316742,0.638095238,0.591836735
FMPC 3624: lanthionine synthetase C family protein ,0.5,0.5,0.5
FMPC 3625: GTP-binding protein ,0.50311086,0.476190476,0.428571429
FMPC 3626: LL-diaminopimelate aminotransferase ,0.5,0.47047619,0.5
FMPC 3627: ABC transporter substrate-binding protein ,0.5,0.5,0.5
FMPC 3628: *hhblits annotated* ABC-2 family transporter protein  db:Pdp70 e-value:3.3e-15 ,0.5,0.5,0.571428571
FMPC 3629: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase ,0.367081448,0.327619048,0.408163265
FMPC 3630: DHHA1 domain-containing protein ,0.5,0.5,0.5
FMPC 3631: IS91 family transposase ,0.514988688,0.486666667,0.37755102
FMPC 3632: abortive infection system toxin AbiGii family protein ,0.507352941,0.5,0.5
FMPC 3633: flagellar hook-basal body complex protein ,0.535067873,0.434285714,0.387755102
FMPC 3634: ATP-grasp domain-containing protein ,0.493778281,0.63047619,0.428571429
FMPC 3635: DUF932 domain-containing protein ,0.5,0.397142857,0.5
FMPC 3636: DUF2812 domain-containing protein ,0.5,0.5,0.5
FMPC 3637: iron-containing alcohol dehydrogenase ,0.375565611,0.287619048,0.489795918
FMPC 3638: glycosyltransferase ,0.427036199,0.266666667,0.469387755
FMPC 3639: ABC transporter permease ,0.63800905,0.52952381,0.612244898
FMPC 3640: radical SAM protein ,0.5,0.5,0.571428571
FMPC 3641: MFS transporter ,0.523190045,0.500952381,0.408163265
FMPC 3642: divalent metal cation transporter ,0.366233032,0.504761905,0.408163265
FMPC 3643: AAA family ATPase ,0.412330317,0.575238095,0.285714286
FMPC 3644: toxic anion resistance protein ,0.482466063,0.48,0.653061224
FMPC 3645: DUF58 domain-containing protein ,0.5,0.5,0.5
FMPC 3646: helix-turn-helix domain-containing protein ,0.5,0.5,0.5
FMPC 3647: pyridoxal phosphate-dependent aminotransferase ,0.507918552,0.474285714,0.520408163
FMPC 3648: TIGR03862 family flavoprotein ,0.522058824,0.295238095,0.612244898
FMPC 3649: nucleotidyltransferase family protein ,0.510180995,0.657142857,0.612244898
FMPC 3650: protoheme IX biogenesis protein HemY ,0.499151584,0.288571429,0.448979592
FMPC 3651: CDP-glycerol glycerophosphotransferase family protein ,0.5,0.5,0.5
FMPC 3652: ATP-binding protein ,0.507352941,0.5,0.5
FMPC 3653: FAD-dependent oxidoreductase ,0.507918552,0.464761905,0.479591837
FMPC 3654: helix-turn-helix domain-containing protein ,0.5,0.5,0.5
FMPC 3655: phage major capsid protein ,0.5,0.495238095,0.510204082
FMPC 3656: IS110 family transposase ,0.507352941,0.365714286,0.56122449
FMPC 3657: anhydro-N-acetylmuramic acid kinase ,0.5,0.476190476,0.5
FMPC 3658: cation:proton antiporter ,0.5260181,0.706666667,0.653061224
FMPC 3659: MFS transporter ,0.501131222,0.407619048,0.530612245
FMPC 3660: IS4 family transposase ,0.5,0.5,0.5
FMPC 3661: iron-containing alcohol dehydrogenase ,0.465497738,0.201904762,0.653061224
FMPC 3662: tyrosine-type recombinase/integrase ,0.480769231,0.44952381,0.428571429
FMPC 3663: glucosaminidase domain-containing protein ,0.495475113,0.514285714,0.551020408
FMPC 3664: tyrosine-type recombinase/integrase ,0.549773756,0.352380952,0.653061224
FMPC 3665: Ger(x)C family spore germination protein ,0.5,0.5,0.5
FMPC 3666: pyridoxal phosphate-dependent aminotransferase ,0.571832579,0.655238095,0.591836735
FMPC 3667: MFS transporter ,0.5,0.5,0.642857143
FMPC 3668: plasmid partitioning protein RepA ,0.5,0.452380952,0.5
FMPC 3669: glycosyltransferase ,0.5,0.380952381,0.510204082
FMPC 3670: TolC family protein ,0.40158371,0.500952381,0.448979592
FMPC 3671: PDZ domain-containing protein ,0.5,0.5,0.5
FMPC 3672: chromate efflux transporter ,0.417420814,0.327619048,0.428571429
FMPC 3673: accessory Sec system protein translocase subunit SecY2 ,0.507352941,0.5,0.428571429
FMPC 3674: *hhblits annotated* Bacterial CdiA-CT RNAse A domain-containing protein db:Uniclust30_2023 e-value:5.1e-154 ,0.5,0.5,0.571428571
FMPC 3675: MobA/MobL family protein ,0.492929864,0.466666667,0.459183673
FMPC 3676: MFS transporter ,0.5,0.5,0.5
FMPC 3677: sporulation protein YqfD ,0.5,0.52,0.5
FMPC 3678: class I SAM-dependent rRNA methyltransferase ,0.522058824,0.472380952,0.642857143
"FMPC 3679: *hhblits annotated* PROBABLE SUGAR ABC TRANSPORTER, SUGAR-BINDING db:Uniclust30 e-value:0.0013 ",0.5,0.5,0.5
FMPC 3680: glycosyltransferase family 1 protein ,0.602941176,0.422857143,0.285714286
FMPC 3681: site-specific integrase ,0.580316742,0.379047619,0.469387755
FMPC 3682: IS91 family transposase ,0.5,0.5,0.5
FMPC 3683: HlyD family efflux transporter periplasmic adaptor subunit ,0.5,0.5,0.5
FMPC 3684: ISAs1 family transposase ,0.450791855,0.554285714,0.265306122
FMPC 3685: iron-containing alcohol dehydrogenase ,0.577205882,0.516190476,0.591836735
FMPC 3686: phage portal protein ,0.480769231,0.5,0.571428571
FMPC 3687: helix-turn-helix domain-containing protein ,0.5,0.428571429,0.428571429
FMPC 3688: urea ABC transporter substrate-binding protein ,0.507918552,0.49047619,0.357142857
FMPC 3689: IS256 family transposase ,0.578054299,0.453333333,0.673469388
FMPC 3690: MFS transporter ,0.5,0.5,0.5
FMPC 3691: ATP-binding protein ,0.5,0.5,0.5
FMPC 3692: *hhblits annotated* ATP-binding protein (Fragment) db:Uniclust30_2023 e-value:4.3e-38 ,0.5,0.5,0.5
FMPC 3693: glycine C-acetyltransferase ,0.477375566,0.321904762,0.632653061
FMPC 3694: IS256 family transposase ,0.34219457,0.278095238,0.387755102
FMPC 3695: *hhblits annotated* DUF4309  family protein db:Uniclust30 e-value:2.5e-07 ,0.5,0.5,0.5
FMPC 3696: serine hydrolase ,0.5,0.5,0.5
FMPC 3697: pilus assembly protein ,0.5,0.5,0.5
FMPC 3698: ABC transporter permease ,0.5,0.5,0.5
FMPC 3699: helix-turn-helix domain-containing protein ,0.5,0.5,0.5
FMPC 3700: IS630 family transposase ,0.702488688,0.647619048,0.714285714
FMPC 3701: glycosyltransferase ,0.480769231,0.52,0.571428571
FMPC 3702: amidohydrolase family protein ,0.429298643,0.47047619,0.510204082
FMPC 3703: MFS transporter ,0.5,0.5,0.5
FMPC 3704: molecular chaperone DnaJ ,0.434954751,0.451428571,0.346938776
FMPC 3705: M14 family metallopeptidase ,0.379807692,0.328571429,0.448979592
FMPC 3706: site-specific integrase ,0.390271493,0.504761905,0.489795918
FMPC 3707: *hhblits annotated* Glucosyltransferase GtfG  db:Pdp70 e-value:3.5e-37 ,0.488404977,0.5,0.5
FMPC 3708: N-acetylglucosamine-6-phosphate deacetylase ,0.438914027,0.51047619,0.540816327
FMPC 3709: MFS transporter ,0.5,0.5,0.5
FMPC 3710: phosphoglycerate kinase ,0.580316742,0.314285714,0.612244898
FMPC 3711: aspartate/tyrosine/aromatic aminotransferase ,0.500848416,0.26952381,0.632653061
FMPC 3712: ISL3 family transposase ,0.5,0.5,0.5
FMPC 3713: restriction endonuclease subunit S ,0.628393665,0.468571429,0.612244898
FMPC 3714: ABC transporter ATP-binding protein ,0.559954751,0.299047619,0.459183673
FMPC 3715: ParM/StbA family protein ,0.5,0.5,0.5
FMPC 3716: glycosyltransferase ,0.5,0.5,0.5
FMPC 3717: alcohol dehydrogenase catalytic domain-containing protein ,0.509615385,0.492380952,0.571428571
FMPC 3718: plasmid recombination protein ,0.522058824,0.5,0.5
FMPC 3719: IS3 family transposase ,0.5,0.405714286,0.357142857
FMPC 3720: transposase ,0.438348416,0.460952381,0.387755102
FMPC 3721: *hhblits annotated* Helix-turn-helix  db:Pdp70 e-value:0.035 ,0.51979638,0.533333333,0.62244898
FMPC 3722: YheC/YheD family protein ,0.5,0.5,0.5
FMPC 3723: phosphoribosylformylglycinamidine cyclo-ligase ,0.42081448,0.478095238,0.530612245
FMPC 3724: XRE family transcriptional regulator ,0.5,0.5,0.5
FMPC 3725: transposase ,0.621040724,0.544761905,0.632653061
FMPC 3726: CoA transferase ,0.509615385,0.476190476,0.428571429
FMPC 3727: CDP-glycerol glycerophosphotransferase family protein ,0.65158371,0.47047619,0.673469388
FMPC 3728: *hhblits annotated* Lmo0472 protein  db:Pdp70 e-value:1.7e-66 ,0.5,0.5,0.5
FMPC 3729: DUF418 domain-containing protein ,0.5,0.5,0.428571429
FMPC 3730: Clp protease ClpP ,0.563348416,0.514285714,0.5
FMPC 3731: MFS transporter ,0.5,0.5,0.5
FMPC 3732: toprim domain-containing protein ,0.474547511,0.52,0.551020408
FMPC 3733: ATP-grasp domain-containing protein ,0.5,0.5,0.5
FMPC 3734: *hhblits annotated* Spore germination protein XC  db:Pdp70 e-value:1.1e-58 ,0.5,0.5,0.5
FMPC 3735: processed acidic surface protein ,0.5,0.5,0.5
FMPC 3736: ABC transporter permease ,0.507352941,0.5,0.5
FMPC 3737: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme ,0.506221719,0.373333333,0.428571429
FMPC 3738: ABC transporter permease ,0.5,0.5,0.5
FMPC 3739: rod shape-determining protein RodA ,0.456165158,0.356190476,0.469387755
FMPC 3740: glycosyltransferase ,0.461255656,0.594285714,0.469387755
FMPC 3741: IS481 family transposase ,0.5,0.5,0.5
FMPC 3742: IS91 family transposase ,0.516402715,0.511428571,0.326530612
FMPC 3743: glycoside hydrolase family 88 protein ,0.491798643,0.38,0.836734694
FMPC 3744: site-specific integrase ,0.507352941,0.5,0.755102041
FMPC 3745: galactokinase ,0.548359729,0.622857143,0.387755102
FMPC 3746: IS110 family transposase ,0.524886878,0.6,0.714285714
FMPC 3747: site-specific integrase ,0.498868778,0.497142857,0.428571429
FMPC 3748: YhaC family protein ,0.496606335,0.386666667,0.489795918
FMPC 3749: CDP-glycerol glycerophosphotransferase family protein ,0.612839367,0.533333333,0.693877551
FMPC 3750: phage portal protein ,0.503676471,0.5,0.571428571
FMPC 3751: c-type cytochrome biogenesis protein CcsB ,0.507352941,0.476190476,0.5
FMPC 3752: M24 family metallopeptidase ,0.507352941,0.574285714,0.214285714
FMPC 3753: site-specific integrase ,0.482466063,0.340952381,0.428571429
FMPC 3754: DUF898 family protein ,0.5,0.5,0.5
FMPC 3755: formimidoylglutamase ,0.5,0.476190476,0.5
FMPC 3756: *hhblits annotated* Permease (Fragment)  db:Pdp70 e-value:5.0000000000000004e-29 ,0.505090498,0.657142857,0.683673469
FMPC 3757: *hhblits annotated* Sigma-70 family RNA polymerase sigma factor  db:Pdp70 e-value:5.5e-19 ,0.558823529,0.504761905,0.673469388
FMPC 3758: *hhblits annotated* Membrane protein  db:Pdp70 e-value:1.5e-56 ,0.497171946,0.405714286,0.428571429
FMPC 3759: radical SAM family heme chaperone HemW ,0.48699095,0.293333333,0.714285714
FMPC 3760: *hhblits annotated* Predicted protein  db:Pdp70 e-value:3.9e-192 ,0.5,0.5,0.5
FMPC 3761: pyridoxal phosphate-dependent aminotransferase ,0.514988688,0.422857143,0.306122449
FMPC 3762: phosphopentomutase ,0.547511312,0.466666667,0.551020408
FMPC 3763: PucR family transcriptional regulator ligand-binding domain-containing protein ,0.5,0.5,0.5
FMPC 3764: FAD-dependent oxidoreductase ,0.5,0.5,0.5
FMPC 3765: ABC transporter permease ,0.5,0.5,0.5
FMPC 3766: AAA family ATPase ,0.5,0.495238095,0.5
FMPC 3767: ATP phosphoribosyltransferase regulatory subunit ,0.5,0.5,0.5
FMPC 3768: PLP-dependent aspartate aminotransferase family protein ,0.5,0.5,0.5
FMPC 3769: thiolase family protein ,0.512443439,0.417142857,0.642857143
FMPC 3770: MFS transporter ,0.5,0.5,0.5
FMPC 3771: mannonate dehydratase ,0.422511312,0.441904762,0.428571429
FMPC 3772: DUF4317 family protein ,0.5,0.5,0.5
FMPC 3773: DUF3800 domain-containing protein ,0.5,0.5,0.5
FMPC 3774: AbrB/MazE/SpoVT family DNA-binding domain-containing protein ,0.433257919,0.494285714,0.357142857
FMPC 3775: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme ,0.424208145,0.255238095,0.510204082
FMPC 3776: FtsW/RodA/SpoVE family cell cycle protein ,0.5,0.476190476,0.5
FMPC 3777: site-specific integrase ,0.451357466,0.52,0.428571429
FMPC 3778: conjugative transposon protein TraM ,0.5,0.5,0.5
FMPC 3779: ParM/StbA family protein ,0.5,0.5,0.5
FMPC 3780: aminotransferase ,0.349547511,0.40952381,0.224489796
FMPC 3781: competence/damage-inducible protein A ,0.621606335,0.411428571,0.469387755
FMPC 3782: restriction endonuclease subunit S ,0.398755656,0.344761905,0.326530612
FMPC 3783: phage tail sheath subtilisin-like domain-containing protein ,0.45418552,0.351428571,0.285714286
FMPC 3784: TraB family protein ,0.487556561,0.5,0.571428571
FMPC 3785: HAMP domain-containing histidine kinase ,0.671945701,0.483809524,0.387755102
FMPC 3786: poly-gamma-glutamate synthase PgsB ,0.506221719,0.435238095,0.530612245
FMPC 3787: site-specific integrase ,0.462104072,0.573333333,0.469387755
FMPC 3788: FtsW/RodA/SpoVE family cell cycle protein ,0.541006787,0.380952381,0.387755102
FMPC 3789: LL-diaminopimelate aminotransferase ,0.514705882,0.447619048,0.530612245
FMPC 3790: site-specific integrase ,0.539027149,0.492380952,0.428571429
FMPC 3791: membrane protein ,0.5,0.5,0.5
"FMPC 3792: *hhblits annotated* HK97-like fold, capsid size redirection db:Uniclust30 e-value:0.0011 ",0.4114819,0.533333333,0.857142857
FMPC 3793: RNA-guided endonuclease TnpB family protein ,0.600395928,0.563809524,0.612244898
FMPC 3794: glycosyltransferase family 4 protein ,0.5,0.5,0.5
FMPC 3795: glycosyltransferase family 4 protein ,0.5,0.5,0.5
FMPC 3796: uroporphyrinogen-III C-methyltransferase ,0.461821267,0.379047619,0.551020408
FMPC 3797: PrgH/EprH family type III secretion apparatus protein ,0.535350679,0.427619048,0.469387755
FMPC 3798: ROK family transcriptional regulator ,0.514705882,0.420952381,0.724489796
FMPC 3799: *hhblits annotated* Zn-ribbon containing protein  db:Pdp70 e-value:4.899999999999999e-31 ,0.514705882,0.476190476,0.5
FMPC 3800: RecA-like recombinase protein ,0.503676471,0.52,0.5
FMPC 3801: NAD(P)/FAD-dependent oxidoreductase ,0.5,0.5,0.5
FMPC 3802: replication initiator protein A ,0.5,0.5,0.5
FMPC 3803: replication initiation factor domain-containing protein ,0.5,0.5,0.5
FMPC 3804: MFS transporter ,0.5,0.5,0.5
FMPC 3805: cyclopropane-fatty-acyl-phospholipid synthase family protein ,0.425339367,0.506666667,0.469387755
FMPC 3806: site-specific integrase ,0.524321267,0.5,0.612244898
FMPC 3807: cation diffusion facilitator family transporter ,0.621606335,0.579047619,0.632653061
FMPC 3808: restriction endonuclease subunit S ,0.371606335,0.391428571,0.265306122
FMPC 3809: sulfate adenylyltransferase ,0.498303167,0.325714286,0.428571429
FMPC 3810: MFS transporter ,0.601244344,0.695238095,0.653061224
FMPC 3811: glucosaminidase domain-containing protein ,0.480769231,0.5,0.5
FMPC 3812: Fe-S FMPC assembly protein SufD ,0.580316742,0.300952381,0.653061224
FMPC 3813: ROK family transcriptional regulator ,0.5,0.5,0.5
FMPC 3814: efflux RND transporter periplasmic adaptor subunit ,0.5,0.5,0.5
FMPC 3815: ABC transporter substrate-binding protein ,0.5,0.5,0.5
FMPC 3816: sporulation protein YhbH ,0.480769231,0.5,0.5
FMPC 3817: IS3 family transposase ,0.487273756,0.540952381,0.387755102
FMPC 3818: GNAT family N-acetyltransferase ,0.5,0.5,0.5
FMPC 3819: *hhblits annotated* ABC transporter substrate-binding protein  db:Pdp70 e-value:3.2e-15 ,0.507352941,0.5,0.428571429
FMPC 3820: 6-aminohexanoate-dimer hydrolase ,0.5,0.5,0.5
FMPC 3821: AGE family epimerase/isomerase ,0.585972851,0.721904762,0.632653061
FMPC 3822: DNA-binding protein ,0.5,0.5,0.5
FMPC 3823: Hcp1 family type VI secretion system effector ,0.561085973,0.4,0.224489796
FMPC 3824: putative cytokinetic ring protein SteA ,0.429015837,0.497142857,0.448979592
FMPC 3825: *hhblits annotated* Predicted membrane-associated Zn-dependent protease 1  db:Pdp70 e-value:1e-130 ,0.5,0.5,0.5
FMPC 3826: nucleotidyltransferase family protein ,0.395927602,0.592380952,0.285714286
FMPC 3827: CDP-glycerol glycerophosphotransferase family protein ,0.5,0.5,0.5
FMPC 3828: conjugative transposon protein TraM ,0.321266968,0.419047619,0.448979592
FMPC 3829: *hhblits annotated* Putative phage-related membrane protein  db:Pdp70 e-value:5.3e-17 ,0.475113122,0.5,0.5
FMPC 3830: glycosyltransferase family 4 protein ,0.3489819,0.48952381,0.193877551
FMPC 3831: flagellar biosynthesis protein FlhF ,0.5,0.476190476,0.5
FMPC 3832: D-alanyl-D-alanine carboxypeptidase ,0.451357466,0.417142857,0.734693878
FMPC 3833: beta-ketoacyl-,0.507352941,0.436190476,0.612244898
FMPC 3834: ThiF family adenylyltransferase ,0.5,0.5,0.5
FMPC 3835: AGE family epimerase/isomerase ,0.514705882,0.411428571,0.428571429
FMPC 3836: glutathione-dependent formaldehyde dehydrogenase ,0.570135747,0.431428571,0.62244898
FMPC 3837: MATE family efflux transporter ,0.529411765,0.52,0.571428571
FMPC 3838: efflux RND transporter periplasmic adaptor subunit ,0.5,0.5,0.5
FMPC 3839: efflux RND transporter periplasmic adaptor subunit ,0.480769231,0.476190476,0.428571429
FMPC 3840: glycosidase ,0.582579186,0.554285714,0.673469388
FMPC 3841: chloramphenicol efflux MFS transporter Cmx ,0.507352941,0.5,0.5
FMPC 3842: enterotoxin production-related protein TieB ,0.542138009,0.392380952,0.489795918
FMPC 3843: acyl-CoA dehydrogenase family protein ,0.5,0.5,0.5
FMPC 3844: efflux RND transporter periplasmic adaptor subunit ,0.429864253,0.382857143,0.428571429
"FMPC 3845: *hhblits annotated* ABC-type transporter, integral membrane subunit  db:Pdp70 e-value:7.5e-86 ",0.507352941,0.5,0.5
FMPC 3846: *hhblits annotated* O-Antigen ligase  db:Pdp70 e-value:3.6e-06 ,0.373868778,0.525714286,0.306122449
FMPC 3847: IS110 family transposase ,0.630090498,0.426666667,0.469387755
FMPC 3848: PPE family protein ,0.5,0.5,0.5
FMPC 3849: DUF4268 domain-containing protein ,0.479638009,0.373333333,0.5
FMPC 3850: conjugal transfer protein ,0.5,0.5,0.5
FMPC 3851: beta-aspartyl-peptidase ,0.496606335,0.201904762,0.591836735
FMPC 3852: MFS transporter ,0.5,0.5,0.5
FMPC 3853: site-specific integrase ,0.5,0.5,0.5
FMPC 3854: phenylacetate--CoA ligase family protein ,0.5,0.5,0.5
FMPC 3855: toprim domain-containing protein ,0.327488688,0.420952381,0.387755102
FMPC 3856: *hhblits annotated* Lipoprotein  db:Pdp70 e-value:1.7e-10 ,0.5,0.5,0.5
FMPC 3857: transporter substrate-binding domain-containing protein ,0.481900452,0.476190476,0.530612245
FMPC 3858: glycosyltransferase family 4 protein ,0.5,0.5,0.5
FMPC 3859: phage portal protein ,0.507352941,0.5,0.571428571
FMPC 3860: glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit ,0.675904977,0.4,0.448979592
FMPC 3861: phage portal protein ,0.557409502,0.434285714,0.428571429
FMPC 3862: IS21 family transposase ,0.486142534,0.327619048,0.346938776
FMPC 3863: acetoin utilization protein AcuC ,0.488404977,0.476190476,0.5
FMPC 3864: C45 family autoproteolytic acyltransferase/hydolase ,0.445135747,0.504761905,0.469387755
FMPC 3865: MFS transporter ,0.5,0.5,0.5
FMPC 3866: acetyl-CoA C-acetyltransferase ,0.5,0.445714286,0.5
FMPC 3867: CamS family sex pheromone protein ,0.5,0.5,0.5
FMPC 3868: ABC transporter permease ,0.514705882,0.5,0.5
FMPC 3869: SIS domain-containing protein ,0.516402715,0.417142857,0.428571429
FMPC 3870: phage DNA encapsidation protein ,0.496040724,0.54,0.428571429
FMPC 3871: mechanosensitive ion channel family protein ,0.5,0.5,0.5
FMPC 3872: DUF4367 domain-containing protein ,0.5,0.5,0.5
FMPC 3873: plasmid recombination protein ,0.514705882,0.5,0.5
FMPC 3874: DUF3021 domain-containing protein ,0.507352941,0.5,0.5
FMPC 3875: BMP family ABC transporter substrate-binding protein ,0.511312217,0.723809524,0.612244898
FMPC 3876: AraC family transcriptional regulator ,0.5,0.5,0.5
FMPC 3877: phage tail tube protein ,0.487556561,0.403809524,0.551020408
FMPC 3878: 1-deoxy-D-xylulose-5-phosphate reductoisomerase ,0.452488688,0.451428571,0.448979592
FMPC 3879: FMNH2-dependent alkanesulfonate monooxygenase ,0.422511312,0.386666667,0.428571429
FMPC 3880: D-alanyl-D-alanine carboxypeptidase ,0.55260181,0.345714286,0.795918367
FMPC 3881: M20 family metallopeptidase ,0.5,0.5,0.5
FMPC 3882: ROK family protein ,0.5,0.5,0.5
FMPC 3883: helix-turn-helix domain-containing protein ,0.5,0.5,0.5
FMPC 3884: exo-alpha-sialidase ,0.503676471,0.486666667,0.489795918
FMPC 3885: nicotinate phosphoribosyltransferase ,0.43438914,0.487619048,0.469387755
FMPC 3886: acyl-CoA/acyl-ACP dehydrogenase ,0.5,0.52,0.5
FMPC 3887: stalk domain-containing protein ,0.5,0.5,0.5
FMPC 3888: phage major capsid protein ,0.501979638,0.476190476,0.5
FMPC 3889: MFS transporter ,0.507352941,0.5,0.5
FMPC 3890: TIGR04053 family radical SAM/SPASM domain-containing protein ,0.510746606,0.44952381,0.428571429
FMPC 3891: endonuclease ,0.5,0.5,0.5
FMPC 3892: beta-ketoacyl-,0.486425339,0.49047619,0.520408163
FMPC 3893: AI-2E family transporter ,0.5,0.5,0.5
FMPC 3894: Ger(x)C family spore germination protein ,0.5,0.5,0.5
FMPC 3895: UxaA family hydrolase ,0.480769231,0.592380952,0.714285714
FMPC 3896: fused response regulator/phosphatase ,0.5,0.5,0.5
FMPC 3897: IS30 family transposase ,0.453054299,0.514285714,0.428571429
FMPC 3898: endonuclease Q family protein ,0.480769231,0.452380952,0.5
FMPC 3899: phage major capsid protein ,0.514140271,0.478095238,0.346938776
FMPC 3900: mannitol-1-phosphate 5-dehydrogenase ,0.548925339,0.335238095,0.755102041
FMPC 3901: IS3 family transposase ,0.566459276,0.355238095,0.285714286
FMPC 3902: plasmid-partitioning protein SopA ,0.390837104,0.521904762,0.530612245
FMPC 3903: tetracycline-inactivating monooxygenase Tet(X2) ,0.490384615,0.581904762,0.142857143
FMPC 3904: FAD-binding oxidoreductase ,0.5,0.5,0.5
FMPC 3905: relaxase/mobilization nuclease domain-containing protein ,0.501131222,0.52,0.5
FMPC 3906: divalent metal cation transporter ,0.5,0.5,0.5
FMPC 3907: restriction endonuclease ,0.488122172,0.462857143,0.591836735
FMPC 3908: relaxase/mobilization nuclease domain-containing protein ,0.547228507,0.508571429,0.489795918
FMPC 3909: DEAD/DEAH box helicase ,0.5,0.5,0.5
FMPC 3910: TraB/GumN family protein ,0.534219457,0.554285714,0.520408163
FMPC 3911: dihydro-p-hydroxycinnamoy-CoA dehydrogenase ,0.5,0.462857143,0.836734694
FMPC 3912: histidinol-phosphate transaminase ,0.474547511,0.365714286,0.306122449
FMPC 3913: FtsX-like permease family protein ,0.597285068,0.420952381,0.612244898
FMPC 3914: site-specific integrase ,0.503393665,0.476190476,0.367346939
FMPC 3915: DNA polymerase III subunit beta ,0.5,0.5,0.5
FMPC 3916: IS4 family transposase ,0.409502262,0.487619048,0.265306122
FMPC 3917: IS3 family transposase ,0.463235294,0.388571429,0.591836735
FMPC 3918: isocitrate/isopropylmalate family dehydrogenase ,0.549208145,0.607619048,0.346938776
FMPC 3919: IS3 family transposase ,0.487556561,0.413333333,0.428571429
FMPC 3920: CDP-glycerol glycerophosphotransferase family protein ,0.5,0.5,0.5
FMPC 3921: transcription termination factor NusA ,0.678733032,0.491428571,0.591836735
FMPC 3922: IS3 family transposase ,0.622737557,0.659047619,0.653061224
FMPC 3923: *hhblits annotated* dATP pyrophosphohydrolase  db:Pdp70 e-value:1.4e-48 ,0.402149321,0.485714286,0.367346939
FMPC 3924: sensor histidine kinase ,0.5,0.5,0.5
FMPC 3925: CDP-glycerol glycerophosphotransferase family protein ,0.5,0.5,0.5
FMPC 3926: FAD-dependent monooxygenase ,0.5,0.5,0.5
FMPC 3927: glycosyl hydrolase family 18 protein ,0.5,0.5,0.5
FMPC 3928: IS1249 family transposase ,0.621606335,0.563809524,0.346938776
FMPC 3929: IS481 family transposase ,0.507352941,0.52,0.571428571
FMPC 3930: site-specific integrase ,0.514705882,0.474285714,0.387755102
FMPC 3931: GDSL-type esterase/lipase family protein ,0.5,0.5,0.5
FMPC 3932: AAA family ATPase ,0.5,0.5,0.5
FMPC 3933: phosphoglycerate dehydrogenase ,0.478789593,0.431428571,0.37755102
